,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc
2018-06-01,14.7,7.5,21.3,80.5,,,,Abitibi-Ouest
2018-07-01,16.5,7.9,25.1,13.5,,,,Abitibi-Ouest
2018-08-01,16.5,7.8,25.2,23.9,,,,Abitibi-Ouest
2018-09-01,12.0,6.0,17.5,180.7,,,,Abitibi-Ouest
2018-10-01,1.8,-2.3,3.9,151.5,,,,Abitibi-Ouest
2018-11-01,0.1,-4.7,4.9,12.4,12.4,1016.6,,Abitibi-Ouest
2018-12-01,-11.2,-15.4,-6.2,43.4,13.2,1018.4,,Abitibi-Ouest
2019-01-01,-1.9,-7.0,3.2,13.6,,,,Abitibi-Ouest
2019-02-01,-10.5,-24.0,-10.0,93.6,8.2,,,Abitibi-Ouest
2019-03-01,-3.7,-10.3,3.0,23.5,,,,Abitibi-Ouest
2019-04-01,-0.5,-6.0,4.0,107.0,14.7,1015.5,,Abitibi-Ouest
2019-05-01,6.8,1.2,12.5,90.9,12.7,1015.5,,Abitibi-Ouest
2019-06-01,14.5,6.4,20.8,134.3,13.1,,,Abitibi-Ouest
2019-07-01,19.2,10.6,25.6,48.4,7.1,,,Abitibi-Ouest
2019-08-01,16.4,8.6,22.0,82.6,6.8,1013.9,,Abitibi-Ouest
2019-09-01,10.8,5.1,16.3,99.4,,,,Abitibi-Ouest
2019-10-01,5.6,1.3,9.7,89.8,,,,Abitibi-Ouest
2019-11-01,-6.6,-9.8,-3.6,64.3,,,,Abitibi-Ouest
2019-12-01,-10.8,-16.8,-6.5,53.8,12.8,,,Abitibi-Ouest
2020-01-01,-12.0,-17.8,-7.3,34.7,11.6,1019.8,,Abitibi-Ouest
2020-02-01,-12.3,-17.7,-6.5,42.1,14.4,1014.8,,Abitibi-Ouest
2020-03-01,-6.7,-13.3,0.2,75.9,,,,Abitibi-Ouest
2020-04-01,-0.7,-7.1,4.9,59.8,13.1,1011.6,,Abitibi-Ouest
2020-05-01,7.9,0.8,13.6,41.6,12.8,1016.7,,Abitibi-Ouest
2020-06-01,13.3,7.8,18.8,116.5,11.0,1012.7,,Abitibi-Ouest
2020-07-01,15.8,7.8,23.8,9.1,9.8,,,Abitibi-Ouest
2020-08-01,17.4,8.6,26.1,8.1,10.7,1014.2,,Abitibi-Ouest
2020-09-01,12.9,5.1,20.7,24.2,12.3,1015.2,,Abitibi-Ouest
2020-10-01,3.2,-3.2,9.6,32.4,11.3,1017.1,,Abitibi-Ouest
