MRC,SECTOR,month_rmse,month_mape
Marguerite-D'Youville,AGRICOLE,113366.46329731955,0.13119320763541545
Marguerite-D'Youville,INDUSTRIEL,41814947.295740135,0.22549701482296722
Rouville,INDUSTRIEL,637593.4099129023,0.02929129102524639
Rouville,COMMERCIAL,297774.77028711356,0.031732844899885565
Rouville,AGRICOLE,259048.41303484247,0.0629087325235932
Roussillon,RÉSIDENTIEL,12863591.029615808,0.08966571379860418
Roussillon,INSTITUTIONNEL,494591.27284173656,0.0386094229735639
Roussillon,INDUSTRIEL,4943552.272371663,0.13254648709195851
Roussillon,COMMERCIAL,1241216.876890938,0.031999607211647074
Roussillon,AGRICOLE,170526.63980981623,0.08844388044097819
Pierre-De Saurel,RÉSIDENTIEL,4683917.999642406,0.11150500475556303
Marguerite-D'Youville,COMMERCIAL,954740.4146943719,0.03858835395322946
Pierre-De Saurel,INSTITUTIONNEL,221359.78441591846,0.03887711763615662
Pierre-De Saurel,COMMERCIAL,765616.3979196702,0.06118418686794496
Pierre-De Saurel,AGRICOLE,136670.06812561938,0.06555910440219287
Abitibi-Ouest,AGRICOLE,104951.30134436871,0.13231737329702273
Abitibi-Ouest,COMMERCIAL,320772.7744827652,0.06646158814998679
Abitibi-Ouest,INDUSTRIEL,974560.666656397,0.04556924436997251
Abitibi-Ouest,INSTITUTIONNEL,145598.40181584458,0.06398498484185487
Abitibi-Ouest,RÉSIDENTIEL,1838240.5706592314,0.11114181543181356
Marguerite-D'Youville,RÉSIDENTIEL,6300266.444881184,0.09735177831264065
Marguerite-D'Youville,INSTITUTIONNEL,467908.13557666633,0.058974975465554004
Pierre-De Saurel,INDUSTRIEL,32137686.71231682,0.09980093511411949
Le Val-Saint-François,AGRICOLE,171055.63801046557,0.050924023163724526
La Vallée-du-Richelieu,INDUSTRIEL,105060.62064254559,0.018307616912687005
La Vallée-du-Richelieu,AGRICOLE,131371.32311284004,0.06992526994548877
Les Chenaux,AGRICOLE,97416.0277039298,0.047448699026301396
Thérèse-De Blainville,RÉSIDENTIEL,13317705.150810558,0.1008419624428638
Thérèse-De Blainville,INSTITUTIONNEL,531620.6190051017,0.037649121568661
Thérèse-De Blainville,INDUSTRIEL,507316.216234942,0.030391283687078066
Thérèse-De Blainville,COMMERCIAL,3072772.840367551,0.04761695908144298
Thérèse-De Blainville,AGRICOLE,183327.95431892056,0.2699688931805162
Les Pays-d'en-Haut,RÉSIDENTIEL,9728092.66638807,0.16414649048110605
Les Pays-d'en-Haut,INSTITUTIONNEL,112411.7626722775,0.05682778183383263
La Vallée-de-l'Or,AGRICOLE,,
Les Chenaux,COMMERCIAL,387960.1709316363,0.1252555486462801
La Vallée-de-l'Or,COMMERCIAL,1854697.84557848,0.1164458621473378
La Vallée-de-l'Or,INSTITUTIONNEL,188643.2666767208,0.04071321702677695
La Vallée-de-l'Or,RÉSIDENTIEL,3958598.530032858,0.11296049479674831
Les Pays-d'en-Haut,INDUSTRIEL,21125.408713776265,0.0597521552325423
Les Pays-d'en-Haut,COMMERCIAL,772372.6269534448,0.0541763346674779
Les Pays-d'en-Haut,AGRICOLE,41273.63307905509,0.4732246049159771
Les Laurentides,RÉSIDENTIEL,9848093.071609663,0.1567896329603813
Les Laurentides,INSTITUTIONNEL,199942.78907673646,0.04497995179532594
Les Laurentides,INDUSTRIEL,99347.1441277671,0.06994642912202231
Les Laurentides,COMMERCIAL,2318020.419842326,0.132960836578074
La Vallée-de-l'Or,INDUSTRIEL,4763547.636959335,0.04227453644198865
La Vallée-du-Richelieu,COMMERCIAL,1026486.1976595961,0.03573474447577309
Les Chenaux,INDUSTRIEL,73644.97224845504,0.17538340488467904
Les Chenaux,RÉSIDENTIEL,1687932.0141762602,0.10469832843175254
Beauharnois-Salaberry,RÉSIDENTIEL,5891233.50350089,0.10392770941020635
Beauharnois-Salaberry,INSTITUTIONNEL,288639.72899906663,0.03646970338075179
Beauharnois-Salaberry,INDUSTRIEL,40553483.775175504,0.35389528625085226
Beauharnois-Salaberry,COMMERCIAL,1709989.8563321854,0.05516931451621288
Beauharnois-Salaberry,AGRICOLE,279081.09866031795,0.11102679435143496
Acton,RÉSIDENTIEL,1208315.305670247,0.10596062472005724
Acton,INSTITUTIONNEL,140863.6959079383,0.16664731852099984
Acton,INDUSTRIEL,67631.39271104717,0.039066638341479394
Acton,COMMERCIAL,155316.2749987367,0.03133318607844162
Les Chenaux,INSTITUTIONNEL,71225.28847145244,0.09729248007718265
Acton,AGRICOLE,176366.4169999476,0.031692989290260466
Mékinac,INSTITUTIONNEL,47452.45168539159,0.07804985983610443
Mékinac,INDUSTRIEL,929734.2530744767,0.9810910601160695
Mékinac,COMMERCIAL,245230.07685013936,0.08808238006254714
Mékinac,AGRICOLE,85965.17898381052,0.058076494751767516
Maskinongé,RÉSIDENTIEL,3419542.4447636544,0.10778814987077136
Maskinongé,INSTITUTIONNEL,102492.77523151213,0.05622531062062893
Maskinongé,INDUSTRIEL,854562.9304389784,0.08454271325315611
Maskinongé,COMMERCIAL,818113.2245199902,0.09464054876779837
Maskinongé,AGRICOLE,406862.9446047372,0.05713747432470223
Mékinac,RÉSIDENTIEL,1440528.5338059047,0.11797540622004672
