MRC,SECTOR,mean_temp__month_rmse,mean_temp__month_mape
La Côte-de-Beaupré,AGRICOLE,,
L'Île-d'Orléans,RÉSIDENTIEL,,
L'Île-d'Orléans,INSTITUTIONNEL,,
L'Île-d'Orléans,INDUSTRIEL,,
L'Île-d'Orléans,COMMERCIAL,,
L'Île-d'Orléans,AGRICOLE,,
Charlevoix-Est,RÉSIDENTIEL,,
Charlevoix-Est,INSTITUTIONNEL,,
Charlevoix-Est,INDUSTRIEL,,
La Matapédia,AGRICOLE,,
Charlevoix-Est,COMMERCIAL,,
Charlevoix,RÉSIDENTIEL,,
Charlevoix,INSTITUTIONNEL,,
Charlevoix,INDUSTRIEL,,
Charlevoix,COMMERCIAL,,
Charlevoix,AGRICOLE,,
Témiscouata,RÉSIDENTIEL,,
Témiscouata,INSTITUTIONNEL,,
Témiscouata,INDUSTRIEL,,
Témiscouata,COMMERCIAL,,
Charlevoix-Est,AGRICOLE,,
Rouville,INSTITUTIONNEL,,
Beauce-Sartigan,AGRICOLE,,
Beauce-Sartigan,INDUSTRIEL,,
Sept-Rivières,INDUSTRIEL,,
Sept-Rivières,COMMERCIAL,,
Sept-Rivières,AGRICOLE,,
Kamouraska,AGRICOLE,,
Kamouraska,COMMERCIAL,,
Kamouraska,INDUSTRIEL,,
Kamouraska,INSTITUTIONNEL,,
Kamouraska,RÉSIDENTIEL,,
Minganie,RÉSIDENTIEL,,
Sept-Rivières,INSTITUTIONNEL,,
Minganie,INSTITUTIONNEL,,
Minganie,COMMERCIAL,,
Minganie,AGRICOLE,,
Manicouagan,RÉSIDENTIEL,,
Manicouagan,INSTITUTIONNEL,,
Manicouagan,INDUSTRIEL,,
Manicouagan,COMMERCIAL,,
Manicouagan,AGRICOLE,,
Le Golfe-du-Saint-Laurent,RÉSIDENTIEL,,
Le Golfe-du-Saint-Laurent,INSTITUTIONNEL,,
Minganie,INDUSTRIEL,,
Le Golfe-du-Saint-Laurent,INDUSTRIEL,,
Sept-Rivières,RÉSIDENTIEL,,
Brome-Missisquoi,COMMERCIAL,,
Le Haut-Saint-François,COMMERCIAL,,
Le Haut-Saint-François,AGRICOLE,,
Le Granit,RÉSIDENTIEL,,
Le Granit,INSTITUTIONNEL,,
Le Granit,INDUSTRIEL,,
Le Granit,COMMERCIAL,,
Le Granit,AGRICOLE,,
La Haute-Yamaska,RÉSIDENTIEL,,
La Haute-Yamaska,INSTITUTIONNEL,,
Brome-Missisquoi,AGRICOLE,,
La Haute-Yamaska,INDUSTRIEL,,
La Haute-Yamaska,AGRICOLE,,
Coaticook,RÉSIDENTIEL,,
Coaticook,INSTITUTIONNEL,,
Coaticook,INDUSTRIEL,,
Coaticook,COMMERCIAL,,
Coaticook,AGRICOLE,,
Brome-Missisquoi,RÉSIDENTIEL,,
Brome-Missisquoi,INSTITUTIONNEL,,
Brome-Missisquoi,INDUSTRIEL,,
La Haute-Yamaska,COMMERCIAL,,
Beauce-Sartigan,COMMERCIAL,,
Le Golfe-du-Saint-Laurent,COMMERCIAL,,
La Haute-Côte-Nord,INSTITUTIONNEL,,
Les Appalaches,INDUSTRIEL,,
Les Appalaches,COMMERCIAL,,
Les Appalaches,AGRICOLE,,
La Nouvelle-Beauce,RÉSIDENTIEL,,
La Nouvelle-Beauce,INSTITUTIONNEL,,
La Nouvelle-Beauce,INDUSTRIEL,,
La Nouvelle-Beauce,COMMERCIAL,,
La Nouvelle-Beauce,AGRICOLE,,
L'Islet,RÉSIDENTIEL,,
Les Appalaches,INSTITUTIONNEL,,
L'Islet,INSTITUTIONNEL,,
L'Islet,COMMERCIAL,,
L'Islet,AGRICOLE,,
Bellechasse,RÉSIDENTIEL,,
Bellechasse,INSTITUTIONNEL,,
Bellechasse,INDUSTRIEL,,
Bellechasse,COMMERCIAL,,
Bellechasse,AGRICOLE,,
Beauce-Sartigan,RÉSIDENTIEL,,
Beauce-Sartigan,INSTITUTIONNEL,,
L'Islet,INDUSTRIEL,,
La Haute-Côte-Nord,RÉSIDENTIEL,,
Les Appalaches,RÉSIDENTIEL,,
Les Etchemins,COMMERCIAL,174386.7936218341,0.04494220769475887
La Haute-Côte-Nord,INDUSTRIEL,,
La Haute-Côte-Nord,COMMERCIAL,,
La Haute-Côte-Nord,AGRICOLE,,
Caniapiscau,RÉSIDENTIEL,,
Caniapiscau,INSTITUTIONNEL,,
Caniapiscau,INDUSTRIEL,,
Caniapiscau,COMMERCIAL,,
Montmagny,RÉSIDENTIEL,,
Montmagny,INSTITUTIONNEL,,
Les Etchemins,AGRICOLE,179589.58205461985,0.10960539610260171
Montmagny,INDUSTRIEL,,
Montmagny,AGRICOLE,,
Lotbinière,RÉSIDENTIEL,,
Lotbinière,INSTITUTIONNEL,,
Lotbinière,INDUSTRIEL,,
Lotbinière,COMMERCIAL,,
Lotbinière,AGRICOLE,,
Les Etchemins,RÉSIDENTIEL,1669462.583923446,0.15275590322780633
Les Etchemins,INSTITUTIONNEL,105707.27509101813,0.11457524848926022
Les Etchemins,INDUSTRIEL,198343.54870216854,0.06750658919078907
Montmagny,COMMERCIAL,,
Rouville,RÉSIDENTIEL,,
La Côte-de-Gaspé,COMMERCIAL,,
La Mitis,AGRICOLE,,
Administration régionale Kativik,INSTITUTIONNEL,,
Pontiac,INSTITUTIONNEL,,
Pontiac,RÉSIDENTIEL,,
Administration régionale Kativik,COMMERCIAL,,
Lac-Saint-Jean-Est,RÉSIDENTIEL,,
Les Collines-de-l'Outaouais,INSTITUTIONNEL,,
Les Collines-de-l'Outaouais,RÉSIDENTIEL,,
Le Fjord-du-Saguenay,COMMERCIAL,,
Le Fjord-du-Saguenay,INDUSTRIEL,,
Vaudreuil-Soulanges,RÉSIDENTIEL,,
Vaudreuil-Soulanges,INSTITUTIONNEL,,
Vaudreuil-Soulanges,INDUSTRIEL,,
Administration régionale Kativik,RÉSIDENTIEL,,
Vaudreuil-Soulanges,COMMERCIAL,,
Le Fjord-du-Saguenay,RÉSIDENTIEL,,
La Vallée-de-la-Gatineau,INDUSTRIEL,,
La Vallée-de-la-Gatineau,COMMERCIAL,,
Le Fjord-du-Saguenay,AGRICOLE,,
La Vallée-de-la-Gatineau,AGRICOLE,,
Vaudreuil-Soulanges,AGRICOLE,,
Papineau,AGRICOLE,,
Papineau,COMMERCIAL,,
Papineau,INDUSTRIEL,,
Papineau,RÉSIDENTIEL,,
Papineau,INSTITUTIONNEL,,
Le Fjord-du-Saguenay,INSTITUTIONNEL,,
Abitibi,RÉSIDENTIEL,,
Lac-Saint-Jean-Est,INSTITUTIONNEL,,
Le Domaine-du-Roy,INSTITUTIONNEL,,
Maria-Chapdelaine,AGRICOLE,,
Les Collines-de-l'Outaouais,INDUSTRIEL,,
Lac-Saint-Jean-Est,COMMERCIAL,,
Le Domaine-du-Roy,COMMERCIAL,,
Le Domaine-du-Roy,INDUSTRIEL,,
Le Domaine-du-Roy,RÉSIDENTIEL,,
Lac-Saint-Jean-Est,AGRICOLE,,
Le Domaine-du-Roy,AGRICOLE,,
Pontiac,AGRICOLE,,
Lac-Saint-Jean-Est,INDUSTRIEL,,
Les Collines-de-l'Outaouais,COMMERCIAL,,
Abitibi,INSTITUTIONNEL,,
Les Collines-de-l'Outaouais,AGRICOLE,,
Abitibi,COMMERCIAL,,
Pontiac,COMMERCIAL,,
Pontiac,INDUSTRIEL,,
La Vallée-de-la-Gatineau,RÉSIDENTIEL,,
Maria-Chapdelaine,COMMERCIAL,,
Maria-Chapdelaine,INDUSTRIEL,,
Maria-Chapdelaine,INSTITUTIONNEL,,
Maria-Chapdelaine,RÉSIDENTIEL,,
La Vallée-de-la-Gatineau,INSTITUTIONNEL,,
Abitibi,INDUSTRIEL,,
