mrc,sector,date,total_kwh,tavg,sector_mrc
La Haute-Gaspésie,INSTITUTIONNEL,2016-01-01,1812970.0,-6.9,INSTITUTIONNELLa Haute-Gaspésie
La Haute-Gaspésie,INDUSTRIEL,2016-01-01,642674.0,-6.9,INDUSTRIELLa Haute-Gaspésie
La Haute-Gaspésie,COMMERCIAL,2016-01-01,5300661.0,-6.9,COMMERCIALLa Haute-Gaspésie
La Haute-Gaspésie,AGRICOLE,2016-01-01,72647.0,-6.9,AGRICOLELa Haute-Gaspésie
La Côte-de-Gaspé,RÉSIDENTIEL,2016-01-01,21758694.0,-6.9,RÉSIDENTIELLa Côte-de-Gaspé
La Côte-de-Gaspé,INSTITUTIONNEL,2016-01-01,4746787.0,-6.9,INSTITUTIONNELLa Côte-de-Gaspé
La Côte-de-Gaspé,INDUSTRIEL,2016-01-01,1361153.0,-6.9,INDUSTRIELLa Côte-de-Gaspé
La Mitis,COMMERCIAL,2016-01-01,4914945.0,-6.9,COMMERCIALLa Mitis
La Côte-de-Gaspé,AGRICOLE,2016-01-01,152980.0,-6.9,AGRICOLELa Côte-de-Gaspé
La Haute-Gaspésie,RÉSIDENTIEL,2016-01-01,14118556.0,-6.9,RÉSIDENTIELLa Haute-Gaspésie
La Rivière-du-Nord,INSTITUTIONNEL,2016-01-01,8586587.0,-6.9,INSTITUTIONNELLa Rivière-du-Nord
La Rivière-du-Nord,RÉSIDENTIEL,2016-01-01,162037935.0,-6.9,RÉSIDENTIELLa Rivière-du-Nord
Les Laurentides,AGRICOLE,2016-01-01,675862.0,-6.9,AGRICOLELes Laurentides
Les Maskoutains,INSTITUTIONNEL,2016-01-01,12238535.0,-6.9,INSTITUTIONNELLes Maskoutains
Les Maskoutains,INDUSTRIEL,2016-01-01,23553815.73529412,-6.9,INDUSTRIELLes Maskoutains
Les Maskoutains,COMMERCIAL,2016-01-01,30143022.0,-6.9,COMMERCIALLes Maskoutains
Les Maskoutains,AGRICOLE,2016-01-01,8546595.0,-6.9,AGRICOLELes Maskoutains
Les Jardins-de-Napierville,RÉSIDENTIEL,2016-01-01,32066624.0,-6.9,RÉSIDENTIELLes Jardins-de-Napierville
Les Jardins-de-Napierville,INSTITUTIONNEL,2016-01-01,1482769.0,-6.9,INSTITUTIONNELLes Jardins-de-Napierville
Les Jardins-de-Napierville,INDUSTRIEL,2016-01-01,3575629.0,-6.9,INDUSTRIELLes Jardins-de-Napierville
Les Jardins-de-Napierville,COMMERCIAL,2016-01-01,8870174.0,-6.9,COMMERCIALLes Jardins-de-Napierville
Les Jardins-de-Napierville,AGRICOLE,2016-01-01,7481983.0,-6.9,AGRICOLELes Jardins-de-Napierville
Les Maskoutains,RÉSIDENTIEL,2016-01-01,88278295.0,-6.9,RÉSIDENTIELLes Maskoutains
Le Haut-Saint-Laurent,RÉSIDENTIEL,2016-01-01,28169685.0,-6.9,RÉSIDENTIELLe Haut-Saint-Laurent
Le Haut-Saint-Laurent,INDUSTRIEL,2016-01-01,2216206.0,-6.9,INDUSTRIELLe Haut-Saint-Laurent
Le Haut-Saint-Laurent,COMMERCIAL,2016-01-01,5679375.0,-6.9,COMMERCIALLe Haut-Saint-Laurent
Le Haut-Saint-Laurent,AGRICOLE,2016-01-01,4188923.0,-6.9,AGRICOLELe Haut-Saint-Laurent
Le Haut-Richelieu,RÉSIDENTIEL,2016-01-01,131846529.0,-6.9,RÉSIDENTIELLe Haut-Richelieu
Le Haut-Richelieu,INSTITUTIONNEL,2016-01-01,10617677.0,-6.9,INSTITUTIONNELLe Haut-Richelieu
Le Haut-Richelieu,INDUSTRIEL,2016-01-01,13028459.0,-6.9,INDUSTRIELLe Haut-Richelieu
Le Haut-Richelieu,COMMERCIAL,2016-01-01,29832537.0,-6.9,COMMERCIALLe Haut-Richelieu
Le Haut-Richelieu,AGRICOLE,2016-01-01,4159497.0,-6.9,AGRICOLELe Haut-Richelieu
La Vallée-du-Richelieu,RÉSIDENTIEL,2016-01-01,137219334.0,-6.9,RÉSIDENTIELLa Vallée-du-Richelieu
Le Haut-Saint-Laurent,INSTITUTIONNEL,2016-01-01,2334579.0,-6.9,INSTITUTIONNELLe Haut-Saint-Laurent
La Vallée-du-Richelieu,INSTITUTIONNEL,2016-01-01,6234614.0,-6.9,INSTITUTIONNELLa Vallée-du-Richelieu
Marguerite-D'Youville,AGRICOLE,2016-01-01,1025657.0,-6.9,AGRICOLEMarguerite-D'Youville
Marguerite-D'Youville,INDUSTRIEL,2016-01-01,312011937.62528735,-6.9,INDUSTRIELMarguerite-D'Youville
Rouville,INDUSTRIEL,2016-01-01,16791839.3,-6.9,INDUSTRIELRouville
Rouville,COMMERCIAL,2016-01-01,8207629.0,-6.9,COMMERCIALRouville
Rouville,AGRICOLE,2016-01-01,3740925.0,-6.9,AGRICOLERouville
Roussillon,RÉSIDENTIEL,2016-01-01,188803509.0,-6.9,RÉSIDENTIELRoussillon
Roussillon,INSTITUTIONNEL,2016-01-01,12518655.0,-6.9,INSTITUTIONNELRoussillon
Roussillon,INDUSTRIEL,2016-01-01,36312455.3,-6.9,INDUSTRIELRoussillon
Roussillon,COMMERCIAL,2016-01-01,35344522.0,-6.9,COMMERCIALRoussillon
Roussillon,AGRICOLE,2016-01-01,1907507.0,-6.9,AGRICOLERoussillon
Pierre-De Saurel,RÉSIDENTIEL,2016-01-01,66889723.0,-6.9,RÉSIDENTIELPierre-De Saurel
Marguerite-D'Youville,COMMERCIAL,2016-01-01,19864507.0,-6.9,COMMERCIALMarguerite-D'Youville
Pierre-De Saurel,INSTITUTIONNEL,2016-01-01,5620166.0,-6.9,INSTITUTIONNELPierre-De Saurel
Pierre-De Saurel,COMMERCIAL,2016-01-01,13245408.0,-6.9,COMMERCIALPierre-De Saurel
Pierre-De Saurel,AGRICOLE,2016-01-01,2273584.0,-6.9,AGRICOLEPierre-De Saurel
Abitibi-Ouest,AGRICOLE,2016-01-01,959059.0,-6.9,AGRICOLEAbitibi-Ouest
Abitibi-Ouest,COMMERCIAL,2016-01-01,5462796.0,-6.9,COMMERCIALAbitibi-Ouest
Abitibi-Ouest,INDUSTRIEL,2016-01-01,17920333.467195768,-6.9,INDUSTRIELAbitibi-Ouest
Abitibi-Ouest,INSTITUTIONNEL,2016-01-01,3535517.0,-6.9,INSTITUTIONNELAbitibi-Ouest
Abitibi-Ouest,RÉSIDENTIEL,2016-01-01,23248485.0,-6.9,RÉSIDENTIELAbitibi-Ouest
Marguerite-D'Youville,RÉSIDENTIEL,2016-01-01,88928962.0,-6.9,RÉSIDENTIELMarguerite-D'Youville
Marguerite-D'Youville,INSTITUTIONNEL,2016-01-01,9065071.6,-6.9,INSTITUTIONNELMarguerite-D'Youville
Pierre-De Saurel,INDUSTRIEL,2016-01-01,218690080.0,-6.9,INDUSTRIELPierre-De Saurel
